strategy,condition,missing_rate,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr
gaussian,Text only,0.0,0.8646,0.8613,0.8614,0.8564,0.5345,0.5097,0.5696,0.7763
gaussian,Text only,0.1,0.8646,0.8613,0.8614,0.8564,0.5345,0.5097,0.5696,0.7763
gaussian,Text only,0.2,0.8646,0.8613,0.8614,0.8564,0.5345,0.5097,0.5696,0.7763
gaussian,Text only,0.3,0.8646,0.8613,0.8614,0.8564,0.5345,0.5097,0.5696,0.7763
gaussian,Text only,0.5,0.8646,0.8613,0.8614,0.8564,0.5345,0.5097,0.5696,0.7763
gaussian,Text only,0.7,0.8646,0.8613,0.8614,0.8564,0.5345,0.5097,0.5696,0.7763
gaussian,Text only,1.0,0.8646,0.8613,0.8614,0.8564,0.5345,0.5097,0.5696,0.7763
gaussian,Audio only,0.0,0.8646,0.8613,0.8614,0.8564,0.5345,0.5097,0.5696,0.7763
gaussian,Audio only,0.1,0.8646,0.8615,0.8619,0.8571,0.5361,0.5114,0.5688,0.7762
gaussian,Audio only,0.2,0.8633,0.8609,0.863,0.8586,0.5401,0.5154,0.5668,0.7763
gaussian,Audio only,0.3,0.865,0.8626,0.8645,0.8603,0.5414,0.5166,0.5653,0.7761
gaussian,Audio only,0.5,0.8633,0.8615,0.8655,0.8617,0.5434,0.5191,0.5629,0.7761
gaussian,Audio only,0.7,0.8642,0.8629,0.8686,0.8652,0.5438,0.5195,0.5647,0.7752
gaussian,Audio only,1.0,0.8642,0.8632,0.8701,0.867,0.5426,0.5178,0.5673,0.7749
gaussian,Text + Audio,0.0,0.8646,0.8613,0.8614,0.8564,0.5345,0.5097,0.5696,0.7763
gaussian,Text + Audio,0.1,0.8637,0.8606,0.8609,0.8559,0.5365,0.5118,0.5687,0.7762
gaussian,Text + Audio,0.2,0.8637,0.861,0.8619,0.8574,0.5401,0.5154,0.5668,0.7763
gaussian,Text + Audio,0.3,0.8658,0.8636,0.866,0.862,0.543,0.5187,0.5653,0.776
gaussian,Text + Audio,0.5,0.8646,0.8629,0.867,0.8634,0.5426,0.5178,0.5631,0.7762
gaussian,Text + Audio,0.7,0.8633,0.862,0.867,0.8637,0.5446,0.5203,0.5646,0.7753
gaussian,Text + Audio,1.0,0.8633,0.8625,0.8691,0.8661,0.5422,0.5174,0.5677,0.7745
