strategy,condition,missing_rate,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr
random,Text only,0.0,0.8646,0.8613,0.8614,0.8564,0.5345,0.5097,0.5696,0.7763
random,Text only,0.1,0.8581,0.8527,0.8487,0.8416,0.5288,0.5065,0.5941,0.7424
random,Text only,0.2,0.8418,0.8337,0.8273,0.8168,0.5195,0.4972,0.6008,0.7258
random,Text only,0.3,0.8313,0.8196,0.8136,0.7989,0.5191,0.5004,0.6273,0.6705
random,Text only,0.4,0.8151,0.7962,0.7871,0.7643,0.4911,0.4749,0.665,0.6156
random,Text only,0.5,0.7924,0.7664,0.759,0.7275,0.4708,0.4582,0.7098,0.528
random,Text only,0.6,0.7575,0.7121,0.7112,0.6561,0.4574,0.4513,0.7534,0.4269
random,Text only,0.7,0.7551,0.696,0.6999,0.6299,0.4489,0.4428,0.774,0.3521
random,Text only,0.8,0.7344,0.6439,0.6694,0.5622,0.429,0.4262,0.811,0.226
random,Text only,0.9,0.7315,0.624,0.6628,0.5359,0.4189,0.4185,0.8217,0.1607
random,Audio only,0.0,0.8646,0.8613,0.8614,0.8564,0.5345,0.5097,0.5696,0.7763
random,Audio only,0.1,0.8625,0.8597,0.8609,0.8563,0.5418,0.5174,0.5646,0.7767
random,Audio only,0.2,0.8629,0.8609,0.864,0.86,0.541,0.5166,0.5616,0.7763
random,Audio only,0.3,0.8637,0.8621,0.867,0.8634,0.5466,0.5223,0.5571,0.7773
random,Audio only,0.4,0.8633,0.8622,0.8691,0.8658,0.5515,0.5272,0.5551,0.7765
random,Audio only,0.5,0.8633,0.8626,0.8701,0.8672,0.5466,0.5227,0.5532,0.7764
random,Audio only,0.6,0.8609,0.8607,0.8706,0.868,0.5499,0.5255,0.5511,0.7767
random,Audio only,0.7,0.8617,0.8619,0.8732,0.8709,0.5503,0.526,0.5499,0.7764
random,Audio only,0.8,0.8609,0.8611,0.8726,0.8704,0.5491,0.5251,0.5506,0.7761
random,Audio only,0.9,0.8613,0.8617,0.8737,0.8715,0.5466,0.5223,0.5539,0.7752
random,Text + Audio,0.0,0.8646,0.8613,0.8614,0.8564,0.5345,0.5097,0.5696,0.7763
random,Text + Audio,0.1,0.8512,0.8458,0.8446,0.8371,0.5328,0.5105,0.589,0.7431
random,Text + Audio,0.2,0.8475,0.8412,0.839,0.8304,0.5219,0.5,0.6152,0.6918
random,Text + Audio,0.3,0.8285,0.8185,0.8146,0.8016,0.5081,0.4878,0.6276,0.6585
random,Text + Audio,0.4,0.8159,0.8042,0.7972,0.782,0.5073,0.4911,0.6543,0.6092
random,Text + Audio,0.5,0.7964,0.7772,0.7682,0.7442,0.4911,0.4793,0.6816,0.5565
random,Text + Audio,0.6,0.7753,0.7445,0.7366,0.699,0.4708,0.4643,0.7391,0.4264
random,Text + Audio,0.7,0.7567,0.7069,0.7076,0.6477,0.4376,0.4315,0.7682,0.3688
random,Text + Audio,0.8,0.7384,0.659,0.6791,0.5837,0.4225,0.4205,0.8142,0.216
random,Text + Audio,0.9,0.7259,0.6182,0.6577,0.5297,0.4136,0.4136,0.8405,0.0758
block,Text only,0.0,0.8646,0.8613,0.8614,0.8564,0.5345,0.5097,0.5696,0.7763
block,Text only,0.1,0.8601,0.8559,0.8538,0.8478,0.5255,0.5032,0.5789,0.7614
block,Text only,0.2,0.8459,0.8395,0.838,0.8292,0.5182,0.4943,0.6029,0.7223
block,Text only,0.3,0.8333,0.8244,0.8181,0.8066,0.5191,0.4972,0.6159,0.6969
block,Text only,0.4,0.8106,0.7957,0.7896,0.7706,0.5065,0.4866,0.6566,0.6302
block,Text only,0.5,0.7936,0.7703,0.7626,0.734,0.487,0.4736,0.6924,0.5518
block,Text only,0.6,0.7786,0.7507,0.7448,0.7102,0.4562,0.4461,0.7216,0.493
block,Text only,0.7,0.7656,0.7211,0.7193,0.6658,0.453,0.4469,0.7467,0.4226
block,Text only,0.8,0.7401,0.6692,0.6847,0.5989,0.429,0.425,0.801,0.2843
block,Text only,0.9,0.7336,0.6353,0.6673,0.5509,0.4213,0.4189,0.8144,0.2223
block,Audio only,0.0,0.8646,0.8613,0.8614,0.8564,0.5345,0.5097,0.5696,0.7763
block,Audio only,0.1,0.8633,0.8604,0.8614,0.8567,0.541,0.5166,0.5663,0.7764
block,Audio only,0.2,0.8646,0.8622,0.8645,0.8603,0.5446,0.5203,0.5642,0.7765
block,Audio only,0.3,0.8629,0.861,0.864,0.8601,0.5442,0.5195,0.5633,0.7762
block,Audio only,0.4,0.8633,0.8617,0.866,0.8624,0.545,0.5207,0.5614,0.7764
block,Audio only,0.5,0.8625,0.8613,0.867,0.8637,0.5487,0.5243,0.5605,0.7759
block,Audio only,0.6,0.8633,0.8626,0.8706,0.8677,0.5511,0.5268,0.559,0.7758
block,Audio only,0.7,0.8625,0.862,0.8706,0.8678,0.5458,0.5215,0.5584,0.7754
block,Audio only,0.8,0.8613,0.8612,0.8701,0.8676,0.5503,0.526,0.5575,0.7752
block,Audio only,0.9,0.8609,0.8609,0.8716,0.8692,0.5474,0.5231,0.5573,0.7749
